"","Cell","Batch","Group","ExpLibSize"
"Cell1001","Cell1001","Batch1","Group1",62951.2321929389
"Cell1002","Cell1002","Batch1","Group2",56636.8544037143
"Cell1003","Cell1003","Batch1","Group6",42406.3270577455
"Cell1004","Cell1004","Batch1","Group5",40081.053134678
"Cell1005","Cell1005","Batch1","Group4",46241.7493181853
"Cell1006","Cell1006","Batch1","Group2",64419.2413179824
"Cell1007","Cell1007","Batch1","Group5",58078.995208408
"Cell1008","Cell1008","Batch1","Group6",51698.3519072114
"Cell1009","Cell1009","Batch1","Group3",51205.6721260618
"Cell1010","Cell1010","Batch1","Group6",66857.1415947511
"Cell1011","Cell1011","Batch1","Group4",43383.3845846716
"Cell1012","Cell1012","Batch1","Group5",69538.4618656617
"Cell1013","Cell1013","Batch1","Group2",65503.5227256097
"Cell1014","Cell1014","Batch1","Group3",50311.4264307686
"Cell1015","Cell1015","Batch1","Group3",58714.9943592051
"Cell1016","Cell1016","Batch1","Group1",71583.5116880735
"Cell1017","Cell1017","Batch1","Group2",78447.3532116335
"Cell1018","Cell1018","Batch1","Group3",80643.5478797215
"Cell1019","Cell1019","Batch1","Group6",64486.6459987594
"Cell1020","Cell1020","Batch1","Group3",57360.1649689729
"Cell1021","Cell1021","Batch1","Group1",65584.7788306079
"Cell1022","Cell1022","Batch1","Group2",56861.7281576738
"Cell1023","Cell1023","Batch1","Group4",48992.1445815709
"Cell1024","Cell1024","Batch1","Group3",70886.0329443029
"Cell1025","Cell1025","Batch1","Group2",68798.123936122
"Cell1026","Cell1026","Batch1","Group4",77049.2995247755
"Cell1027","Cell1027","Batch1","Group4",83559.3016249024
"Cell1028","Cell1028","Batch1","Group2",80368.0178118045
"Cell1029","Cell1029","Batch1","Group1",70112.974466936
"Cell1030","Cell1030","Batch1","Group1",59439.1955665768
"Cell1031","Cell1031","Batch1","Group1",58790.9578894525
"Cell1032","Cell1032","Batch1","Group3",55128.7926997326
"Cell1033","Cell1033","Batch1","Group2",51215.0012017778
"Cell1034","Cell1034","Batch1","Group2",55380.423447769
"Cell1035","Cell1035","Batch1","Group4",67694.9948194806
"Cell1036","Cell1036","Batch1","Group5",64662.4152763304
"Cell1037","Cell1037","Batch1","Group1",47045.4140258352
"Cell1038","Cell1038","Batch1","Group5",76082.2479525011
"Cell1039","Cell1039","Batch1","Group4",77515.1169183585
"Cell1040","Cell1040","Batch1","Group2",80548.4640791068
"Cell1041","Cell1041","Batch1","Group1",46876.9308006221
"Cell1042","Cell1042","Batch1","Group4",55125.356129413
"Cell1043","Cell1043","Batch1","Group4",55164.9919218109
"Cell1044","Cell1044","Batch1","Group5",54708.0999158346
"Cell1045","Cell1045","Batch1","Group6",53479.8491031035
"Cell1046","Cell1046","Batch1","Group3",53530.0219319539
"Cell1047","Cell1047","Batch1","Group5",49310.3060870248
"Cell1048","Cell1048","Batch1","Group1",53499.9121467172
"Cell1049","Cell1049","Batch1","Group1",56027.2081384196
"Cell1050","Cell1050","Batch1","Group2",62238.5599758527
"Cell1051","Cell1051","Batch1","Group6",67584.1367650513
"Cell1052","Cell1052","Batch1","Group3",72516.8856966481
"Cell1053","Cell1053","Batch1","Group2",51013.0270888212
"Cell1054","Cell1054","Batch1","Group6",60385.8286335082
"Cell1055","Cell1055","Batch1","Group3",95524.7038813251
"Cell1056","Cell1056","Batch1","Group6",54591.119874011
"Cell1057","Cell1057","Batch1","Group5",69430.808965637
"Cell1058","Cell1058","Batch1","Group5",52069.3138107842
"Cell1059","Cell1059","Batch1","Group2",74092.8103522298
"Cell1060","Cell1060","Batch1","Group3",66776.290525458
"Cell1061","Cell1061","Batch1","Group2",49829.2846793349
"Cell1062","Cell1062","Batch1","Group1",73499.8223899846
"Cell1063","Cell1063","Batch1","Group2",74992.8219482265
"Cell1064","Cell1064","Batch1","Group2",71436.203882799
"Cell1065","Cell1065","Batch1","Group4",34419.6973829046
"Cell1066","Cell1066","Batch1","Group6",61621.4507749792
"Cell1067","Cell1067","Batch1","Group1",81143.6747734329
"Cell1068","Cell1068","Batch1","Group3",57857.4082694347
"Cell1069","Cell1069","Batch1","Group4",52489.6349800387
"Cell1070","Cell1070","Batch1","Group5",58054.7076079838
"Cell1071","Cell1071","Batch1","Group5",37175.0135839075
"Cell1072","Cell1072","Batch1","Group2",47683.494118635
"Cell1073","Cell1073","Batch1","Group4",58838.3359531403
"Cell1074","Cell1074","Batch1","Group1",70761.1460279886
"Cell1075","Cell1075","Batch1","Group3",62468.7789202574
"Cell1076","Cell1076","Batch1","Group6",68068.4612160079
"Cell1077","Cell1077","Batch1","Group1",48707.0862375252
"Cell1078","Cell1078","Batch1","Group2",80591.9567031837
"Cell1079","Cell1079","Batch1","Group2",75970.1097735624
"Cell1080","Cell1080","Batch1","Group2",67740.895523539
"Cell1081","Cell1081","Batch1","Group4",57838.6395193791
"Cell1082","Cell1082","Batch1","Group1",71133.6718555179
"Cell1083","Cell1083","Batch1","Group4",52890.7008516776
"Cell1084","Cell1084","Batch1","Group6",50229.4803131744
"Cell1085","Cell1085","Batch1","Group6",38341.2251368972
"Cell1086","Cell1086","Batch1","Group2",62233.74433556
"Cell1087","Cell1087","Batch1","Group1",37702.008829247
"Cell1088","Cell1088","Batch1","Group5",59583.4566521749
"Cell1089","Cell1089","Batch1","Group6",65399.3839612263
"Cell1090","Cell1090","Batch1","Group2",70116.6351424558
"Cell1091","Cell1091","Batch1","Group1",73450.2749778153
"Cell1092","Cell1092","Batch1","Group2",67714.2708364782
"Cell1093","Cell1093","Batch1","Group6",50417.0368040661
"Cell1094","Cell1094","Batch1","Group5",71549.8576363337
"Cell1095","Cell1095","Batch1","Group3",60636.6605975023
"Cell1096","Cell1096","Batch1","Group5",41236.0349958423
"Cell1097","Cell1097","Batch1","Group5",58534.5601053673
"Cell1098","Cell1098","Batch1","Group2",41911.8014942115
"Cell1099","Cell1099","Batch1","Group1",48499.167501235
"Cell1100","Cell1100","Batch1","Group5",52898.4366531438
"Cell1101","Cell1101","Batch1","Group2",53242.5029876775
"Cell1102","Cell1102","Batch1","Group6",72070.1440298935
"Cell1103","Cell1103","Batch1","Group5",59096.01842164
"Cell1104","Cell1104","Batch1","Group2",49641.261315132
"Cell1105","Cell1105","Batch1","Group4",52745.2032338287
"Cell1106","Cell1106","Batch1","Group5",53367.388854918
"Cell1107","Cell1107","Batch1","Group6",62171.0171771921
"Cell1108","Cell1108","Batch1","Group4",66698.0632594764
"Cell1109","Cell1109","Batch1","Group6",55040.4245505513
"Cell1110","Cell1110","Batch1","Group1",55944.0122305278
"Cell1111","Cell1111","Batch1","Group5",66410.8733728103
"Cell1112","Cell1112","Batch1","Group4",50318.2179197239
"Cell1113","Cell1113","Batch1","Group1",57980.7198083907
"Cell1114","Cell1114","Batch1","Group6",58190.456503986
"Cell1115","Cell1115","Batch1","Group2",51377.612723185
"Cell1116","Cell1116","Batch1","Group2",52472.2577831347
"Cell1117","Cell1117","Batch1","Group6",56303.8903399559
"Cell1118","Cell1118","Batch1","Group6",50192.1796640078
"Cell1119","Cell1119","Batch1","Group2",58743.2168959385
"Cell1120","Cell1120","Batch1","Group1",46388.4657985612
"Cell1121","Cell1121","Batch1","Group6",64544.9395118204
"Cell1122","Cell1122","Batch1","Group1",54510.7890609861
"Cell1123","Cell1123","Batch1","Group5",70247.9665397624
"Cell1124","Cell1124","Batch1","Group4",65202.796614268
"Cell1125","Cell1125","Batch1","Group6",54045.0694754864
"Cell1126","Cell1126","Batch1","Group6",55854.0262659255
"Cell1127","Cell1127","Batch1","Group5",67634.8423940022
"Cell1128","Cell1128","Batch1","Group6",69361.8902350826
"Cell1129","Cell1129","Batch1","Group2",65863.6326877976
"Cell1130","Cell1130","Batch1","Group4",63937.2334235334
"Cell1131","Cell1131","Batch1","Group2",41929.5666466521
"Cell1132","Cell1132","Batch1","Group6",61321.100782574
"Cell1133","Cell1133","Batch1","Group6",45086.6253283385
"Cell1134","Cell1134","Batch1","Group2",60791.5984811788
"Cell1135","Cell1135","Batch1","Group4",52461.4215875263
"Cell1136","Cell1136","Batch1","Group5",58623.9614696527
"Cell1137","Cell1137","Batch1","Group3",47286.6277211309
"Cell1138","Cell1138","Batch1","Group2",57937.9658425038
"Cell1139","Cell1139","Batch1","Group4",81136.4962965329
"Cell1140","Cell1140","Batch1","Group5",86252.3874969656
"Cell1141","Cell1141","Batch1","Group3",36398.1063881952
"Cell1142","Cell1142","Batch1","Group1",43007.7473734373
"Cell1143","Cell1143","Batch1","Group4",45063.5477017095
"Cell1144","Cell1144","Batch1","Group6",46385.4302999748
"Cell1145","Cell1145","Batch1","Group3",90746.0440893019
"Cell1146","Cell1146","Batch1","Group3",73358.0264375876
"Cell1147","Cell1147","Batch1","Group2",58575.8302121439
"Cell1148","Cell1148","Batch1","Group3",72860.6342959324
"Cell1149","Cell1149","Batch1","Group4",94114.6916424812
"Cell1150","Cell1150","Batch1","Group2",68010.5408578664
"Cell1151","Cell1151","Batch1","Group1",85400.5063204006
"Cell1152","Cell1152","Batch1","Group2",47595.7947394082
"Cell1153","Cell1153","Batch1","Group1",48249.2460746448
"Cell1154","Cell1154","Batch1","Group6",74131.0663015742
"Cell1155","Cell1155","Batch1","Group5",71564.229367506
"Cell1156","Cell1156","Batch1","Group1",71254.9309454327
"Cell1157","Cell1157","Batch1","Group4",65983.0053380948
"Cell1158","Cell1158","Batch1","Group5",54490.4786342872
"Cell1159","Cell1159","Batch1","Group6",72397.4240820831
"Cell1160","Cell1160","Batch1","Group2",86642.4811091232
"Cell1161","Cell1161","Batch1","Group5",76732.565940328
"Cell1162","Cell1162","Batch1","Group4",45425.8750331728
"Cell1163","Cell1163","Batch1","Group3",65836.8753148168
"Cell1164","Cell1164","Batch1","Group4",60022.1699184668
"Cell1165","Cell1165","Batch1","Group2",60926.2860771896
"Cell1166","Cell1166","Batch1","Group3",57729.6601555949
"Cell1167","Cell1167","Batch1","Group2",46484.1162330235
"Cell1168","Cell1168","Batch1","Group4",63975.5835544726
"Cell1169","Cell1169","Batch1","Group5",78460.1181948838
"Cell1170","Cell1170","Batch1","Group4",83059.5539746284
"Cell1171","Cell1171","Batch1","Group2",65906.11087926
"Cell1172","Cell1172","Batch1","Group6",51675.384111958
"Cell1173","Cell1173","Batch1","Group1",53284.2823337975
"Cell1174","Cell1174","Batch1","Group1",52982.3227356333
"Cell1175","Cell1175","Batch1","Group2",67553.1523168519
"Cell1176","Cell1176","Batch1","Group2",57116.4435404953
"Cell1177","Cell1177","Batch1","Group4",107027.727814279
"Cell1178","Cell1178","Batch1","Group1",56746.0735348579
"Cell1179","Cell1179","Batch1","Group4",61674.0519566437
"Cell1180","Cell1180","Batch1","Group1",57448.3178975905
"Cell1181","Cell1181","Batch1","Group4",52653.4989587194
"Cell1182","Cell1182","Batch1","Group2",70934.6539111661
"Cell1183","Cell1183","Batch1","Group5",53878.4344960009
"Cell1184","Cell1184","Batch1","Group3",59902.537856114
"Cell1185","Cell1185","Batch1","Group6",56592.0589600936
"Cell1186","Cell1186","Batch1","Group6",34006.4356504297
"Cell1187","Cell1187","Batch1","Group4",68199.0601718736
"Cell1188","Cell1188","Batch1","Group4",61793.3995425126
"Cell1189","Cell1189","Batch1","Group4",50478.9953697495
"Cell1190","Cell1190","Batch1","Group1",78638.7624028114
"Cell1191","Cell1191","Batch1","Group5",46509.9136564802
"Cell1192","Cell1192","Batch1","Group6",41957.4249244013
"Cell1193","Cell1193","Batch1","Group3",52188.4283921359
"Cell1194","Cell1194","Batch1","Group2",47246.4546167893
"Cell1195","Cell1195","Batch1","Group1",70118.0451735314
"Cell1196","Cell1196","Batch1","Group6",60912.4431709965
"Cell1197","Cell1197","Batch1","Group2",55602.7373246271
"Cell1198","Cell1198","Batch1","Group2",59986.0475547703
"Cell1199","Cell1199","Batch1","Group1",49502.9766783759
"Cell1200","Cell1200","Batch1","Group4",62090.2060100332
"Cell1201","Cell1201","Batch1","Group4",62197.3683786047
"Cell1202","Cell1202","Batch1","Group4",59021.2156842558
"Cell1203","Cell1203","Batch1","Group5",59840.0027132367
"Cell1204","Cell1204","Batch1","Group3",47971.20469156
"Cell1205","Cell1205","Batch1","Group1",72188.6675539307
"Cell1206","Cell1206","Batch1","Group1",44481.6538295297
"Cell1207","Cell1207","Batch1","Group6",93499.2206254452
"Cell1208","Cell1208","Batch1","Group5",82853.3158602913
"Cell1209","Cell1209","Batch1","Group3",66433.247469494
"Cell1210","Cell1210","Batch1","Group6",45688.1513327456
"Cell1211","Cell1211","Batch1","Group1",65200.6531515102
"Cell1212","Cell1212","Batch1","Group1",42931.5593206192
"Cell1213","Cell1213","Batch1","Group2",56727.3238431411
"Cell1214","Cell1214","Batch1","Group4",70133.6644179553
"Cell1215","Cell1215","Batch1","Group6",70835.936440721
"Cell1216","Cell1216","Batch1","Group5",60270.2501507324
"Cell1217","Cell1217","Batch1","Group3",57089.0294937768
"Cell1218","Cell1218","Batch1","Group4",63114.7929227514
"Cell1219","Cell1219","Batch1","Group2",43549.0411661252
"Cell1220","Cell1220","Batch1","Group1",55534.1255877273
"Cell1221","Cell1221","Batch1","Group2",86034.652487684
"Cell1222","Cell1222","Batch1","Group5",42293.1352011976
"Cell1223","Cell1223","Batch1","Group5",82935.8113329326
"Cell1224","Cell1224","Batch1","Group3",66544.1614569018
"Cell1225","Cell1225","Batch1","Group1",55709.7893979702
"Cell1226","Cell1226","Batch1","Group6",93669.0756614311
"Cell1227","Cell1227","Batch1","Group5",59394.6881640829
"Cell1228","Cell1228","Batch1","Group2",87450.2261342786
"Cell1229","Cell1229","Batch1","Group1",60171.9111362399
"Cell1230","Cell1230","Batch1","Group5",66881.9952515394
"Cell1231","Cell1231","Batch1","Group6",53376.7112502477
"Cell1232","Cell1232","Batch1","Group2",49728.4557584516
"Cell1233","Cell1233","Batch1","Group3",40131.4225727192
"Cell1234","Cell1234","Batch1","Group6",52869.7309722537
"Cell1235","Cell1235","Batch1","Group6",69246.5853145779
"Cell1236","Cell1236","Batch1","Group5",48029.1472201303
"Cell1237","Cell1237","Batch1","Group5",47482.0700357033
"Cell1238","Cell1238","Batch1","Group4",54842.398664843
"Cell1239","Cell1239","Batch1","Group5",61810.3955048748
"Cell1240","Cell1240","Batch1","Group2",54234.8984406688
"Cell1241","Cell1241","Batch1","Group1",76303.4604241389
"Cell1242","Cell1242","Batch1","Group4",63482.9398612802
"Cell1243","Cell1243","Batch1","Group6",59444.0913010053
"Cell1244","Cell1244","Batch1","Group1",48024.9900035976
"Cell1245","Cell1245","Batch1","Group3",49655.8726085246
"Cell1246","Cell1246","Batch1","Group6",65654.8967294247
"Cell1247","Cell1247","Batch1","Group5",56023.5438624336
"Cell1248","Cell1248","Batch1","Group6",74699.7970137512
"Cell1249","Cell1249","Batch1","Group3",43185.5522237457
"Cell1250","Cell1250","Batch1","Group6",64025.6177834931
"Cell1251","Cell1251","Batch1","Group6",53909.8513464128
"Cell1252","Cell1252","Batch1","Group6",80231.7190514874
"Cell1253","Cell1253","Batch1","Group3",65214.4016937877
"Cell1254","Cell1254","Batch1","Group2",48775.0424573594
"Cell1255","Cell1255","Batch1","Group6",46091.7076670969
"Cell1256","Cell1256","Batch1","Group2",62687.6901077445
"Cell1257","Cell1257","Batch1","Group5",56308.2164759456
"Cell1258","Cell1258","Batch1","Group3",58878.6237955202
"Cell1259","Cell1259","Batch1","Group4",57922.0622677827
"Cell1260","Cell1260","Batch1","Group1",68254.7639265409
"Cell1261","Cell1261","Batch1","Group6",48292.5727422771
"Cell1262","Cell1262","Batch1","Group6",119872.255913738
"Cell1263","Cell1263","Batch1","Group6",63501.3331073406
"Cell1264","Cell1264","Batch1","Group3",53783.6733482701
"Cell1265","Cell1265","Batch1","Group4",58165.3619421446
"Cell1266","Cell1266","Batch1","Group5",66731.0810127657
"Cell1267","Cell1267","Batch1","Group1",67970.9059304386
"Cell1268","Cell1268","Batch1","Group5",41983.3666305955
"Cell1269","Cell1269","Batch1","Group1",39607.4623655057
"Cell1270","Cell1270","Batch1","Group4",58807.1437060886
"Cell1271","Cell1271","Batch1","Group3",70782.0301207089
"Cell1272","Cell1272","Batch1","Group6",61898.3106449117
"Cell1273","Cell1273","Batch1","Group3",73504.7357199482
"Cell1274","Cell1274","Batch1","Group4",64902.2578411166
"Cell1275","Cell1275","Batch1","Group6",65011.4328865116
"Cell1276","Cell1276","Batch1","Group6",83787.3537857684
"Cell1277","Cell1277","Batch1","Group3",48415.6547353525
"Cell1278","Cell1278","Batch1","Group6",51110.8902571708
"Cell1279","Cell1279","Batch1","Group3",64712.0336589466
"Cell1280","Cell1280","Batch1","Group4",62994.3110114108
"Cell1281","Cell1281","Batch1","Group6",38660.2160605376
"Cell1282","Cell1282","Batch1","Group4",66673.3156511874
"Cell1283","Cell1283","Batch1","Group3",46259.5273118694
"Cell1284","Cell1284","Batch1","Group3",46858.6642234957
"Cell1285","Cell1285","Batch1","Group2",84577.4287672185
"Cell1286","Cell1286","Batch1","Group5",75513.8649922248
"Cell1287","Cell1287","Batch1","Group6",51553.1030840179
"Cell1288","Cell1288","Batch1","Group5",83561.1906812929
"Cell1289","Cell1289","Batch1","Group2",53855.5378149186
"Cell1290","Cell1290","Batch1","Group5",73550.6578413696
"Cell1291","Cell1291","Batch1","Group2",78853.2333753418
"Cell1292","Cell1292","Batch1","Group3",78135.5635745611
"Cell1293","Cell1293","Batch1","Group2",76951.5429106883
"Cell1294","Cell1294","Batch1","Group6",56530.3583769608
"Cell1295","Cell1295","Batch1","Group6",53672.3310029783
"Cell1296","Cell1296","Batch1","Group2",76940.3322204599
"Cell1297","Cell1297","Batch1","Group5",59021.4027869895
"Cell1298","Cell1298","Batch1","Group4",52235.2417689793
"Cell1299","Cell1299","Batch1","Group6",48776.3434210853
"Cell1300","Cell1300","Batch1","Group4",77677.0839458335
"Cell1301","Cell1301","Batch1","Group6",69676.0669227143
"Cell1302","Cell1302","Batch1","Group1",80492.7878184184
"Cell1303","Cell1303","Batch1","Group4",52896.2389897629
"Cell1304","Cell1304","Batch1","Group2",63066.0232965744
"Cell1305","Cell1305","Batch1","Group2",48179.8332413909
"Cell1306","Cell1306","Batch1","Group1",60915.6081692762
"Cell1307","Cell1307","Batch1","Group6",50552.0870372827
"Cell1308","Cell1308","Batch1","Group1",64717.1278640226
"Cell1309","Cell1309","Batch1","Group1",59425.1512191282
"Cell1310","Cell1310","Batch1","Group4",79947.0907942001
"Cell1311","Cell1311","Batch1","Group2",63795.944177114
"Cell1312","Cell1312","Batch1","Group6",55226.8154715211
"Cell1313","Cell1313","Batch1","Group3",42275.0574998803
"Cell1314","Cell1314","Batch1","Group3",54689.977460897
"Cell1315","Cell1315","Batch1","Group4",53251.5663779863
"Cell1316","Cell1316","Batch1","Group3",75326.2387196246
"Cell1317","Cell1317","Batch1","Group2",65609.2946693922
"Cell1318","Cell1318","Batch1","Group5",53233.2631746831
"Cell1319","Cell1319","Batch1","Group6",62666.5435264751
"Cell1320","Cell1320","Batch1","Group5",61502.2813586531
"Cell1321","Cell1321","Batch1","Group3",63950.5593996911
"Cell1322","Cell1322","Batch1","Group4",56415.4060596445
"Cell1323","Cell1323","Batch1","Group1",75886.7665640776
"Cell1324","Cell1324","Batch1","Group1",77800.8065691177
"Cell1325","Cell1325","Batch1","Group5",47377.7954250255
"Cell1326","Cell1326","Batch1","Group6",73073.6980548264
"Cell1327","Cell1327","Batch1","Group6",51565.1118916243
"Cell1328","Cell1328","Batch1","Group1",62590.7968617943
"Cell1329","Cell1329","Batch1","Group1",73144.2681750854
"Cell1330","Cell1330","Batch1","Group4",66093.6960707652
"Cell1331","Cell1331","Batch1","Group5",59773.1066070429
"Cell1332","Cell1332","Batch1","Group3",61036.5044093835
"Cell1333","Cell1333","Batch1","Group1",93914.5915635315
"Cell1334","Cell1334","Batch1","Group1",79803.8428482305
"Cell1335","Cell1335","Batch1","Group5",59998.9025322446
"Cell1336","Cell1336","Batch1","Group5",56153.3500948323
"Cell1337","Cell1337","Batch1","Group2",86537.6599617851
"Cell1338","Cell1338","Batch1","Group3",60960.7165697811
"Cell1339","Cell1339","Batch1","Group5",64897.1224582276
"Cell1340","Cell1340","Batch1","Group5",77798.6020060787
"Cell1341","Cell1341","Batch1","Group6",52963.0169440687
"Cell1342","Cell1342","Batch1","Group3",54879.9846674272
"Cell1343","Cell1343","Batch1","Group6",55468.95551509
"Cell1344","Cell1344","Batch1","Group5",61961.3222833348
"Cell1345","Cell1345","Batch1","Group4",36926.6025764908
"Cell1346","Cell1346","Batch1","Group1",55070.2935473545
"Cell1347","Cell1347","Batch1","Group2",68970.8418912203
"Cell1348","Cell1348","Batch1","Group3",63726.8657563334
"Cell1349","Cell1349","Batch1","Group6",64223.7289599046
"Cell1350","Cell1350","Batch1","Group5",43591.912432996
"Cell1351","Cell1351","Batch1","Group3",62523.9105157513
"Cell1352","Cell1352","Batch1","Group6",58515.6799959556
"Cell1353","Cell1353","Batch1","Group2",60118.1832478783
"Cell1354","Cell1354","Batch1","Group3",71579.0743382598
"Cell1355","Cell1355","Batch1","Group6",79986.7943582839
"Cell1356","Cell1356","Batch1","Group2",56930.916787827
"Cell1357","Cell1357","Batch1","Group2",53130.4635464752
"Cell1358","Cell1358","Batch1","Group4",56979.7848438234
"Cell1359","Cell1359","Batch1","Group5",69903.6530560623
"Cell1360","Cell1360","Batch1","Group3",58470.7880403642
"Cell1361","Cell1361","Batch1","Group5",55076.7940482881
"Cell1362","Cell1362","Batch1","Group6",59249.6249694881
"Cell1363","Cell1363","Batch1","Group2",78494.9868985833
"Cell1364","Cell1364","Batch1","Group4",49804.9529322724
"Cell1365","Cell1365","Batch1","Group1",56266.0000639265
"Cell1366","Cell1366","Batch1","Group4",48476.741556386
"Cell1367","Cell1367","Batch1","Group3",93690.1978936048
"Cell1368","Cell1368","Batch1","Group2",54469.0305306309
"Cell1369","Cell1369","Batch1","Group1",71769.208860114
"Cell1370","Cell1370","Batch1","Group2",60329.9164360108
"Cell1371","Cell1371","Batch1","Group3",57810.6066219383
"Cell1372","Cell1372","Batch1","Group6",55696.8123261262
"Cell1373","Cell1373","Batch1","Group3",50984.4361490255
"Cell1374","Cell1374","Batch1","Group4",78300.9700049014
"Cell1375","Cell1375","Batch1","Group4",67858.9205281762
"Cell1376","Cell1376","Batch1","Group3",60248.0895176083
"Cell1377","Cell1377","Batch1","Group4",48099.0319497313
"Cell1378","Cell1378","Batch1","Group2",54323.7712782056
"Cell1379","Cell1379","Batch1","Group4",72447.5938960492
"Cell1380","Cell1380","Batch1","Group1",49074.6226753953
"Cell1381","Cell1381","Batch1","Group3",53403.1993191044
"Cell1382","Cell1382","Batch1","Group1",70026.8932344998
"Cell1383","Cell1383","Batch1","Group2",64619.6151786631
"Cell1384","Cell1384","Batch1","Group3",53102.9820723932
"Cell1385","Cell1385","Batch1","Group6",83326.5932594656
"Cell1386","Cell1386","Batch1","Group3",47185.7213941537
"Cell1387","Cell1387","Batch1","Group3",79470.0492274112
"Cell1388","Cell1388","Batch1","Group5",70462.4035403326
"Cell1389","Cell1389","Batch1","Group2",39359.2300929668
"Cell1390","Cell1390","Batch1","Group4",63833.4748879161
"Cell1391","Cell1391","Batch1","Group3",70277.3632692268
"Cell1392","Cell1392","Batch1","Group1",51106.3415457446
"Cell1393","Cell1393","Batch1","Group3",59746.5511837151
"Cell1394","Cell1394","Batch1","Group5",43273.5300583243
"Cell1395","Cell1395","Batch1","Group2",49935.4569545396
"Cell1396","Cell1396","Batch1","Group5",61534.5044531387
"Cell1397","Cell1397","Batch1","Group4",63211.2513074349
"Cell1398","Cell1398","Batch1","Group2",58998.5270285843
"Cell1399","Cell1399","Batch1","Group5",51282.9662604609
"Cell1400","Cell1400","Batch1","Group4",67424.465935251
"Cell1401","Cell1401","Batch1","Group5",78080.9128252925
"Cell1402","Cell1402","Batch1","Group2",53094.7235243625
"Cell1403","Cell1403","Batch1","Group5",60554.6396803559
"Cell1404","Cell1404","Batch1","Group3",53840.6879592637
"Cell1405","Cell1405","Batch1","Group2",58913.1876243871
"Cell1406","Cell1406","Batch1","Group3",61830.4423817327
"Cell1407","Cell1407","Batch1","Group4",58663.4343230013
"Cell1408","Cell1408","Batch1","Group6",55773.2702623605
"Cell1409","Cell1409","Batch1","Group2",54489.0220769733
"Cell1410","Cell1410","Batch1","Group4",60283.2059403279
"Cell1411","Cell1411","Batch1","Group3",57518.1459378935
"Cell1412","Cell1412","Batch1","Group4",53696.8851546726
"Cell1413","Cell1413","Batch1","Group2",64567.8865492745
"Cell1414","Cell1414","Batch1","Group3",64909.2638007044
"Cell1415","Cell1415","Batch1","Group2",61947.8008419939
"Cell1416","Cell1416","Batch1","Group4",48039.74728922
"Cell1417","Cell1417","Batch1","Group6",64892.9286973374
"Cell1418","Cell1418","Batch1","Group2",65196.6414732932
"Cell1419","Cell1419","Batch1","Group4",56577.9298532979
"Cell1420","Cell1420","Batch1","Group1",66884.759795891
"Cell1421","Cell1421","Batch1","Group4",77100.9781695871
"Cell1422","Cell1422","Batch1","Group4",63931.0535033606
"Cell1423","Cell1423","Batch1","Group1",69774.3173426966
"Cell1424","Cell1424","Batch1","Group6",77382.4037315478
"Cell1425","Cell1425","Batch1","Group4",83431.1806154164
"Cell1426","Cell1426","Batch1","Group1",54385.5644020326
"Cell1427","Cell1427","Batch1","Group3",55184.2627816442
"Cell1428","Cell1428","Batch1","Group3",56062.1536947677
"Cell1429","Cell1429","Batch1","Group6",74623.8408495659
"Cell1430","Cell1430","Batch1","Group1",67261.5205547445
"Cell1431","Cell1431","Batch1","Group3",72515.5166391002
"Cell1432","Cell1432","Batch1","Group1",63594.6331203514
"Cell1433","Cell1433","Batch1","Group1",56517.6234114882
"Cell1434","Cell1434","Batch1","Group6",44746.5525354433
"Cell1435","Cell1435","Batch1","Group4",42577.0090056823
"Cell1436","Cell1436","Batch1","Group6",89522.4076972435
"Cell1437","Cell1437","Batch1","Group3",59921.5967873789
"Cell1438","Cell1438","Batch1","Group1",66946.1859801612
"Cell1439","Cell1439","Batch1","Group2",68795.8523930966
"Cell1440","Cell1440","Batch1","Group3",79958.597413418
"Cell1441","Cell1441","Batch1","Group5",67961.3030018261
"Cell1442","Cell1442","Batch1","Group3",60190.7561627083
"Cell1443","Cell1443","Batch1","Group1",69464.7774100413
"Cell1444","Cell1444","Batch1","Group5",64180.8833642998
"Cell1445","Cell1445","Batch1","Group4",52800.134382707
"Cell1446","Cell1446","Batch1","Group5",72525.8540790238
"Cell1447","Cell1447","Batch1","Group5",61876.0376622122
"Cell1448","Cell1448","Batch1","Group1",59459.9835447627
"Cell1449","Cell1449","Batch1","Group5",49804.032664104
"Cell1450","Cell1450","Batch1","Group1",75328.2892079101
"Cell1451","Cell1451","Batch1","Group1",55382.7791084129
"Cell1452","Cell1452","Batch1","Group5",58697.2025143757
"Cell1453","Cell1453","Batch1","Group6",59540.1877273432
"Cell1454","Cell1454","Batch1","Group4",59195.5839722188
"Cell1455","Cell1455","Batch1","Group2",66911.8796335386
"Cell1456","Cell1456","Batch1","Group1",71709.9484349411
"Cell1457","Cell1457","Batch1","Group3",66657.6179997929
"Cell1458","Cell1458","Batch1","Group2",44612.2057613955
"Cell1459","Cell1459","Batch1","Group3",36979.837784079
"Cell1460","Cell1460","Batch1","Group3",55658.8583897196
"Cell1461","Cell1461","Batch1","Group5",57742.3587188757
"Cell1462","Cell1462","Batch1","Group5",58115.4838901711
"Cell1463","Cell1463","Batch1","Group4",45317.8856939462
"Cell1464","Cell1464","Batch1","Group2",52267.4011697545
"Cell1465","Cell1465","Batch1","Group5",41613.354080107
"Cell1466","Cell1466","Batch1","Group5",101498.210188374
"Cell1467","Cell1467","Batch1","Group3",66790.8688048925
